GEO UID,Census Tract name,Total Education,No certificate,High (secondary) school,Postsecondary Education,No certificate %,High (secondary) school %,Postsecondary Education %
5350264.0,264.0,575,0,70,500,0.0,12.17,86.96
5350265.0,265.0,2230,20,195,2015,0.9,8.74,90.36
5350266.0,266.0,1440,25,200,1215,1.74,13.89,84.38
5350267.0,267.0,3015,75,325,2620,2.49,10.78,86.9
5350268.0,268.0,3120,145,495,2470,4.65,15.87,79.17
5350269.01,269.01,3210,240,740,2235,7.48,23.05,69.63
5350269.02,269.02,1380,15,185,1180,1.09,13.41,85.51
5350270.01,270.01,2605,185,530,1890,7.1,20.35,72.55
5350270.02,270.02,2240,160,495,1585,7.14,22.1,70.76
5350271.01,271.01,1305,90,220,995,6.9,16.86,76.25
5350271.02,271.02,2460,300,510,1650,12.2,20.73,67.07
5350272.01,272.01,3300,300,855,2140,9.09,25.91,64.85
5350272.02,272.02,2645,195,475,1975,7.37,17.96,74.67
5350273.01,273.01,1725,50,245,1440,2.9,14.2,83.48
5350273.02,273.02,2050,50,245,1755,2.44,11.95,85.61
5350274.01,274.01,2345,40,430,1870,1.71,18.34,79.74
5350274.02,274.02,2550,55,305,2185,2.16,11.96,85.69
5350275.0,275.0,2700,60,345,2300,2.22,12.78,85.19
5350276.01,276.01,2980,95,495,2385,3.19,16.61,80.03
5350276.02,276.02,3305,60,355,2885,1.82,10.74,87.29
5350277.0,277.0,1810,35,325,1450,1.93,17.96,80.11
5350278.0,278.0,3515,80,765,2670,2.28,21.76,75.96
5350279.01,279.01,2345,280,435,1630,11.94,18.55,69.51
5350279.02,279.02,2980,535,820,1620,17.95,27.52,54.36
5350280.0,280.0,4025,790,1155,2080,19.63,28.7,51.68
5350281.01,281.01,3460,705,1045,1715,20.38,30.2,49.57
5350281.02,281.02,2140,485,610,1050,22.66,28.5,49.07
5350282.0,282.0,2550,410,645,1485,16.08,25.29,58.24
5350283.01,283.01,2750,525,820,1400,19.09,29.82,50.91
5350283.02,283.02,2005,350,735,920,17.46,36.66,45.89
5350284.0,284.0,3675,485,1020,2165,13.2,27.76,58.91
5350285.0,285.0,1765,240,385,1135,13.6,21.81,64.31
5350286.0,286.0,4105,405,795,2905,9.87,19.37,70.77
5350287.02,287.02,3190,270,815,2100,8.46,25.55,65.83
5350287.03,287.03,1400,170,410,820,12.14,29.29,58.57
5350287.04,287.04,2365,75,420,1870,3.17,17.76,79.07
5350288.0,288.0,6525,315,1150,5065,4.83,17.62,77.62
5350289.0,289.0,2745,305,645,1795,11.11,23.5,65.39
5350290.01,290.01,2090,305,705,1075,14.59,33.73,51.44
5350290.02,290.02,1120,120,205,800,10.71,18.3,71.43
5350291.02,291.02,2745,515,885,1345,18.76,32.24,49.0
5350291.03,291.03,1535,175,460,900,11.4,29.97,58.63
5350291.04,291.04,855,100,220,535,11.7,25.73,62.57
5350292.0,292.0,4720,960,1415,2340,20.34,29.98,49.58
5350293.0,293.0,3920,445,990,2480,11.35,25.26,63.27
5350294.01,294.01,2155,425,590,1140,19.72,27.38,52.9
5350294.02,294.02,2290,440,660,1185,19.21,28.82,51.75
5350295.0,295.0,3160,425,965,1760,13.45,30.54,55.7
5350296.0,296.0,1215,40,150,1025,3.29,12.35,84.36
5350297.01,297.01,4100,195,870,3035,4.76,21.22,74.02
5350297.02,297.02,3560,170,685,2715,4.78,19.24,76.26
5350298.0,298.0,2440,75,375,1995,3.07,15.37,81.76
5350299.01,299.01,3650,90,530,3025,2.47,14.52,82.88
5350299.02,299.02,3155,70,310,2775,2.22,9.83,87.96
5350300.01,300.01,2850,55,240,2560,1.93,8.42,89.82
5350300.02,300.02,5420,80,480,4860,1.48,8.86,89.67
5350300.03,300.03,1295,20,165,1110,1.54,12.74,85.71
5350301.01,301.01,1530,45,260,1220,2.94,16.99,79.74
5350301.03,301.03,5385,270,660,4460,5.01,12.26,82.82
5350301.04,301.04,5825,205,680,4945,3.52,11.67,84.89
5350302.01,302.01,3185,130,625,2430,4.08,19.62,76.3
5350302.02,302.02,3055,235,720,2095,7.69,23.57,68.58
5350302.03,302.03,1930,150,320,1460,7.77,16.58,75.65
5350303.0,303.0,3660,235,700,2725,6.42,19.13,74.45
5350304.01,304.01,2495,240,510,1745,9.62,20.44,69.94
5350304.02,304.02,2410,50,205,2155,2.07,8.51,89.42
