geouid,cma codde,cma name,census tract name,Med income
8050003.01,805,Medicine Hat,3.01,42400
9150003.01,915,Kelowna,3.01,36800
9330003.01,933,Vancouver,3.01,32800
9350003.01,935,Victoria,3.01,37600
10003.02,1,St. John's,3.02,31800
4080003.02,408,Saguenay,3.02,36800
5320003.02,532,Oshawa,3.02,38400
5370003.02,537,Hamilton,3.02,40000
5590003.02,559,Windsor,3.02,37600
9150003.02,915,Kelowna,3.02,37600
9330003.02,933,Vancouver,3.02,28000
9350003.02,935,Victoria,3.02,37600
5370003.03,537,Hamilton,3.03,32000
5390003.03,539,St. Catharines - Niagara,3.03,33200
8050003.03,805,Medicine Hat,3.03,38400
3050003.04,305,Moncton,3.04,36000
5370003.04,537,Hamilton,3.04,33200
5390003.04,539,St. Catharines - Niagara,3.04,41200
8050003.04,805,Medicine Hat,3.04,40400
3050003.05,305,Moncton,3.05,46000
3050003.06,305,Moncton,3.06,40400
3100004,310,Saint John,4,28600
3200004,320,Fredericton,4,29400
4080004,408,Saguenay,4,25800
4210004,421,QuÈbec,4,36800
4330004,433,Sherbrooke,4,25400
4420004,442,Trois-RiviËres,4,29200
4470004,447,Drummondville,4,30000
4500004,450,Granby,4,30600
4520004,452,Saint-Hyacinthe,4,25600
4620004,462,MontrÈal,4,33600
5050004,505,Ottawa - Gatineau,4,27800
5210004,521,Kingston,4,30600
5220004,522,Belleville - Quinte West,4,31800
5290004,529,Peterborough,4,31200
5350004,535,Toronto,4,30600
5430004,543,Brantford,4,53600
5590004,559,Windsor,4,45200
5620004,562,Sarnia,4,35200
5750004,575,North Bay,4,28400
5800004,580,Greater Sudbury / Grand Sudbury,4,38000
5900004,590,Sault Ste. Marie,4,44400
5950004,595,Thunder Bay,4,38000
7250004,725,Saskatoon,4,38000
8050004,805,Medicine Hat,4,28800
8100004,810,Lethbridge,4,37200
8250004,825,Calgary,4,43200
8300004,830,Red Deer,4,28400
8500004,850,Grande Prairie,4,38400
8600004,860,Wood Buffalo,4,50400
9150004,915,Kelowna,4,38000
9250004,925,Kamloops,4,40800
9300004,930,Chilliwack,4,30200
9320004,932,Abbotsford - Mission,4,31000
9350004,935,Victoria,4,38800
9380004,938,Nanaimo,4,38000
9700004,970,Prince George,4,46400
10004.01,1,St. John's,4.01,25800
2050004.01,205,Halifax,4.01,28600
3050004.01,305,Moncton,4.01,33200
5320004.01,532,Oshawa,4.01,37200
5370004.01,537,Hamilton,4.01,33600
5390004.01,539,St. Catharines - Niagara,4.01,36400
5410004.01,541,Kitchener - Cambridge - Waterloo,4.01,37600
5500004.01,550,Guelph,4.01,46000
5550004.01,555,London,4.01,41200
5680004.01,568,Barrie,4.01,43600
6020004.01,602,Winnipeg,4.01,37600
7050004.01,705,Regina,4.01,43200
8350004.01,835,Edmonton,4.01,37200
9330004.01,933,Vancouver,4.01,31200
10004.02,1,St. John's,4.02,30800
2050004.02,205,Halifax,4.02,24400
3050004.02,305,Moncton,4.02,29200
5320004.02,532,Oshawa,4.02,32000
5370004.02,537,Hamilton,4.02,33600
5390004.02,539,St. Catharines - Niagara,4.02,36800
5410004.02,541,Kitchener - Cambridge - Waterloo,4.02,31400
5500004.02,550,Guelph,4.02,42400
6020004.02,602,Winnipeg,4.02,32800
7050004.02,705,Regina,4.02,41600
8350004.02,835,Edmonton,4.02,40400
9330004.02,933,Vancouver,4.02,29400
5500004.03,550,Guelph,4.03,45600
5550004.03,555,London,4.03,41200
5680004.03,568,Barrie,4.03,40400
7050004.03,705,Regina,4.03,45600
5550004.04,555,London,4.04,37600
5680004.04,568,Barrie,4.04,42400
5680004.05,568,Barrie,4.05,42800
5680004.06,568,Barrie,4.06,40000
5680004.07,568,Barrie,4.07,44400
2050005,205,Halifax,5,25400
3050005,305,Moncton,5,32000
3100005,310,Saint John,5,
3200005,320,Fredericton,5,22400
4080005,408,Saguenay,5,28200
4210005,421,QuÈbec,5,40000
4330005,433,Sherbrooke,5,25400
4420005,442,Trois-RiviËres,5,23600
4470005,447,Drummondville,5,34000
4500005,450,Granby,5,24600
4520005,452,Saint-Hyacinthe,5,30800
4620005,462,MontrÈal,5,33200
5050005,505,Ottawa - Gatineau,5,36000
5210005,521,Kingston,5,29600
5220005,522,Belleville - Quinte West,5,28400
5290005,529,Peterborough,5,29200
5320005,532,Oshawa,5,27000
5350005,535,Toronto,5,34400
5390005,539,St. Catharines - Niagara,5,27200
5430005,543,Brantford,5,28000
5500005,550,Guelph,5,34800
5590005,559,Windsor,5,40800
5620005,562,Sarnia,5,33600
5680005,568,Barrie,5,32800
5750005,575,North Bay,5,24600
5800005,580,Greater Sudbury / Grand Sudbury,5,25800
5900005,590,Sault Ste. Marie,5,40400
5950005,595,Thunder Bay,5,36400
6020005,602,Winnipeg,5,46000
7050005,705,Regina,5,47200
7250005,725,Saskatoon,5,35200
8100005,810,Lethbridge,5,35600
8250005,825,Calgary,5,38400
8300005,830,Red Deer,5,35200
8500005,850,Grande Prairie,5,34400
9150005,915,Kelowna,5,32400
9300005,930,Chilliwack,5,30600
9330005,933,Vancouver,5,37200
9350005,935,Victoria,5,39200
9380005,938,Nanaimo,5,36400
9700005,970,Prince George,5,37600
10005.01,1,St. John's,5.01,25000
5370005.01,537,Hamilton,5.01,31400
5410005.01,541,Kitchener - Cambridge - Waterloo,5.01,32800
5550005.01,555,London,5.01,34400
8050005.01,805,Medicine Hat,5.01,33600
8350005.01,835,Edmonton,5.01,50800
8600005.01,860,Wood Buffalo,5.01,66500
9250005.01,925,Kamloops,5.01,35200
9320005.01,932,Abbotsford - Mission,5.01,36800
10005.02,1,St. John's,5.02,26000
5370005.02,537,Hamilton,5.02,35200
5410005.02,541,Kitchener - Cambridge - Waterloo,5.02,30000
5550005.02,555,London,5.02,36800
8050005.02,805,Medicine Hat,5.02,31600
8350005.02,835,Edmonton,5.02,43200
8600005.02,860,Wood Buffalo,5.02,70500
9250005.02,925,Kamloops,5.02,38400
9320005.02,932,Abbotsford - Mission,5.02,30800
5370005.03,537,Hamilton,5.03,35600
5550005.03,555,London,5.03,35600
8350005.07,835,Edmonton,5.07,59200
8350005.08,835,Edmonton,5.08,52000
8350005.09,835,Edmonton,5.09,50400
8350005.1,835,Edmonton,5.1,54000
8350005.11,835,Edmonton,5.11,48000
8350005.12,835,Edmonton,5.12,46400
8350005.13,835,Edmonton,5.13,52400
10006,1,St. John's,6,27800
2050006,205,Halifax,6,23200
3050006,305,Moncton,6,26400
3100006,310,Saint John,6,23200
3200006,320,Fredericton,6,36800
4080006,408,Saguenay,6,23400
4210006,421,QuÈbec,6,36000
4330006,433,Sherbrooke,6,25600
4420006,442,Trois-RiviËres,6,27200
4470006,447,Drummondville,6,28200
4500006,450,Granby,6,30600
4520006,452,Saint-Hyacinthe,6,32800
4620006,462,MontrÈal,6,30200
5050006,505,Ottawa - Gatineau,6,54000
5210006,521,Kingston,6,29200
5220006,522,Belleville - Quinte West,6,29200
5290006,529,Peterborough,6,31600
5320006,532,Oshawa,6,27600
5350006,535,Toronto,6,
5370006,537,Hamilton,6,38400
5390006,539,St. Catharines - Niagara,6,40000
5410006,541,Kitchener - Cambridge - Waterloo,6,35600
5430006,543,Brantford,6,26400
5500006,550,Guelph,6,32000
5590006,559,Windsor,6,42400
5620006,562,Sarnia,6,28800
5680006,568,Barrie,6,33600
5750006,575,North Bay,6,37600
5800006,580,Greater Sudbury / Grand Sudbury,6,35600
5900006,590,Sault Ste. Marie,6,25400
5950006,595,Thunder Bay,6,24800
6020006,602,Winnipeg,6,38800
8050006,805,Medicine Hat,6,32000
8100006,810,Lethbridge,6,32000
8250006,825,Calgary,6,35600
8300006,830,Red Deer,6,36400
8500006,850,Grande Prairie,6,49600
9150006,915,Kelowna,6,32000
9300006,930,Chilliwack,6,28600
9320006,932,Abbotsford - Mission,6,32800
9350006,935,Victoria,6,42800
9380006,938,Nanaimo,6,36800
9700006,970,Prince George,6,38800
5550006.01,555,London,6.01,34800
7050006.01,705,Regina,6.01,40400
7250006.01,725,Saskatoon,6.01,27200
8350006.01,835,Edmonton,6.01,
8600006.01,860,Wood Buffalo,6.01,92000
9250006.01,925,Kamloops,6.01,45200
9330006.01,933,Vancouver,6.01,30200
5550006.02,555,London,6.02,42000
7050006.02,705,Regina,6.02,28400
7250006.02,725,Saskatoon,6.02,29000
8600006.02,860,Wood Buffalo,6.02,75500
9250006.02,925,Kamloops,6.02,42000
9330006.02,933,Vancouver,6.02,29400
7250006.03,725,Saskatoon,6.03,35200
8350006.03,835,Edmonton,6.03,34800
5550006.04,555,London,6.04,51200
7250006.04,725,Saskatoon,6.04,40400
8350006.04,835,Edmonton,6.04,36000
5550006.05,555,London,6.05,52000
8350006.05,835,Edmonton,6.05,36400
8350006.06,835,Edmonton,6.06,35200
8350006.08,835,Edmonton,6.08,40000
8350006.09,835,Edmonton,6.09,41200
8350006.13,835,Edmonton,6.13,38000
8350006.14,835,Edmonton,6.14,42400
8350006.15,835,Edmonton,6.15,34800
8350006.16,835,Edmonton,6.16,38000
8350006.17,835,Edmonton,6.17,45600
8350006.18,835,Edmonton,6.18,50400
8350006.19,835,Edmonton,6.19,61600
8350006.2,835,Edmonton,6.2,54400
10007,1,St. John's,7,29400
2050007,205,Halifax,7,31600
3050007,305,Moncton,7,28800
3100007,310,Saint John,7,27000
3200007,320,Fredericton,7,36400
4080007,408,Saguenay,7,31400
4210007,421,QuÈbec,7,31200
4330007,433,Sherbrooke,7,23400
4420007,442,Trois-RiviËres,7,32800
4470007,447,Drummondville,7,26000
4500007,450,Granby,7,28800
4520007,452,Saint-Hyacinthe,7,37200
4620007,462,MontrÈal,7,32400
5210007,521,Kingston,7,28200
5220007,522,Belleville - Quinte West,7,30000
5290007,529,Peterborough,7,24800
5320007,532,Oshawa,7,37600
5370007,537,Hamilton,7,29000
5410007,541,Kitchener - Cambridge - Waterloo,7,35200
5430007,543,Brantford,7,28800
5500007,550,Guelph,7,33600
