REF_DATE,GEO,DGUID,Household size (7),Household type including census family structure  (11),Coordinate,Household income statistics (6):Number of households (2021)[1],Symbol,Household income statistics (6):Number of households (2016)[2],Symbol,Household income statistics (6):Median household total income (2020) (2020 constant dollars)[3],Symbol,Household income statistics (6):Median household total income (2015) (2020 constant dollars)[4],Symbol,Household income statistics (6):Median household after-tax income (2020) (2020 constant dollars)[5],Symbol,Household income statistics (6):Median household after-tax income (2015) (2020 constant dollars)[6],Symbol
2021,0104.00 - Barrie,2021S05075680104.00,4 persons,With a parent that is a man+,88.6.8,0,,0,,0,...,0,...,0,...,0,...
2021,0104.00 - Barrie,2021S05075680104.00,4 persons,With a parent that is a woman+,88.6.9,0,,0,,0,...,0,...,0,...,0,...
2021,0104.00 - Barrie,2021S05075680104.00,4 persons,Other census family households,88.6.10,30,,20,,120000,,110000,,114000,,97000,
2021,0104.00 - Barrie,2021S05075680104.00,4 persons,Non-census family households,88.6.11,0,,0,,0,...,0,...,0,...,0,...
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,Total – Household type including census family structure,88.7.1,70,,70,,152000,,144000,,133000,,127000,
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,Census-family households,88.7.2,70,,65,,152000,,144000,,133000,,126000,
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,Households consisting of only one census family without additional persons,88.7.3,35,,30,,141000,,126000,,118000,,105000,
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,"One couple, with or without children in their census family",88.7.4,35,,30,,141000,,126000,,118000,,105000,
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,Without children,88.7.5,0,,0,,0,...,0,...,0,...,0,...
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,With children,88.7.6,35,,30,,141000,,126000,,118000,,105000,
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,One one-parent census family,88.7.7,0,,0,,0,...,0,...,0,...,0,...
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,With a parent that is a man+,88.7.8,0,,0,,0,...,0,...,0,...,0,...
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,With a parent that is a woman+,88.7.9,0,,0,,0,...,0,...,0,...,0,...
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,Other census family households,88.7.10,30,,35,,176000,,145000,,157000,,131000,
2021,0104.00 - Barrie,2021S05075680104.00,5 or more persons,Non-census family households,88.7.11,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,Total – Household type including census family structure,89.1.1,1745,,1730,,140000,,134000,,116000,,112000,
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,Census-family households,89.1.2,1510,,1535,,151000,,143000,,125000,,120000,
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,Households consisting of only one census family without additional persons,89.1.3,1370,,1420,,149000,,142000,,122000,,118000,
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,"One couple, with or without children in their census family",89.1.4,1270,,1330,,152000,,145000,,125000,,121000,
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,Without children,89.1.5,550,,565,,119000,,112000,,101000,,93000,
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,With children,89.1.6,720,,770,,182000,,174000,,148000,,141000,
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,One one-parent census family,89.1.7,100,,85,,107000,,95000,,93000,,84000,
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,With a parent that is a man+,89.1.8,30,,25,,111000,,96000,,89000,,87000,
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,With a parent that is a woman+,89.1.9,70,,65,,107000,,91000,,94000,,79500,
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,Other census family households,89.1.10,140,,120,,182000,,166000,,157000,,144000,
2021,0200.00 - Barrie,2021S05075680200.00,Total - Households by household size,Non-census family households,89.1.11,230,,190,,57600,,54000,,49200,,46800,
2021,0200.00 - Barrie,2021S05075680200.00,1 person,Total – Household type including census family structure,89.2.1,220,,175,,56800,,52800,,48800,,46000,
2021,0200.00 - Barrie,2021S05075680200.00,1 person,Census-family households,89.2.2,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,1 person,Households consisting of only one census family without additional persons,89.2.3,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,1 person,"One couple, with or without children in their census family",89.2.4,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,1 person,Without children,89.2.5,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,1 person,With children,89.2.6,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,1 person,One one-parent census family,89.2.7,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,1 person,With a parent that is a man+,89.2.8,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,1 person,With a parent that is a woman+,89.2.9,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,1 person,Other census family households,89.2.10,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,1 person,Non-census family households,89.2.11,220,,175,,56800,,52800,,48800,,46000,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,Total – Household type including census family structure,89.3.1,1525,,1550,,150000,,143000,,125000,,120000,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,Census-family households,89.3.2,1510,,1535,,151000,,143000,,125000,,120000,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,Households consisting of only one census family without additional persons,89.3.3,1370,,1420,,149000,,142000,,122000,,118000,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,"One couple, with or without children in their census family",89.3.4,1270,,1330,,152000,,145000,,125000,,121000,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,Without children,89.3.5,550,,565,,119000,,112000,,101000,,93000,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,With children,89.3.6,720,,770,,182000,,174000,,148000,,141000,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,One one-parent census family,89.3.7,100,,85,,107000,,95000,,93000,,84000,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,With a parent that is a man+,89.3.8,30,,25,,111000,,96000,,89000,,87000,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,With a parent that is a woman+,89.3.9,70,,65,,107000,,91000,,94000,,79500,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,Other census family households,89.3.10,140,,120,,182000,,166000,,157000,,144000,
2021,0200.00 - Barrie,2021S05075680200.00,2 or more persons,Non-census family households,89.3.11,15,,10,,,x,,x,,x,,x
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,Total – Household type including census family structure,89.4.1,620,,620,,117000,,110000,,100000,,92000,
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,Census-family households,89.4.2,605,,610,,117000,,110000,,100000,,92000,
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,Households consisting of only one census family without additional persons,89.4.3,605,,610,,117000,,110000,,100000,,92000,
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,"One couple, with or without children in their census family",89.4.4,550,,565,,119000,,112000,,101000,,93000,
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,Without children,89.4.5,550,,565,,119000,,112000,,101000,,93000,
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,With children,89.4.6,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,One one-parent census family,89.4.7,55,,45,,106000,,93000,,89000,,80000,
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,With a parent that is a man+,89.4.8,20,,15,,98000,,,x,81000,,,x
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,With a parent that is a woman+,89.4.9,35,,30,,107000,,73000,,92000,,65000,
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,Other census family households,89.4.10,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,2 persons,Non-census family households,89.4.11,15,,10,,,x,,x,,x,,x
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,Total – Household type including census family structure,89.5.1,290,,305,,156000,,143000,,131000,,120000,
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,Census-family households,89.5.2,285,,305,,157000,,143000,,131000,,120000,
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,Households consisting of only one census family without additional persons,89.5.3,265,,280,,159000,,145000,,132000,,122000,
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,"One couple, with or without children in their census family",89.5.4,230,,250,,164000,,152000,,139000,,127000,
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,Without children,89.5.5,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,With children,89.5.6,230,,250,,164000,,152000,,139000,,127000,
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,One one-parent census family,89.5.7,35,,35,,102000,,102000,,94000,,86000,
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,With a parent that is a man+,89.5.8,5,,10,,,x,,x,,x,,x
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,With a parent that is a woman+,89.5.9,25,,25,,102000,,102000,,93000,,84000,
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,Other census family households,89.5.10,20,,20,,126000,,126000,,111000,,109000,
2021,0200.00 - Barrie,2021S05075680200.00,3 persons,Non-census family households,89.5.11,0,,0,,,x,0,...,,x,0,...
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,Total – Household type including census family structure,89.6.1,395,,405,,186000,,180000,,149000,,146000,
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,Census-family households,89.6.2,395,,405,,186000,,180000,,149000,,146000,
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,Households consisting of only one census family without additional persons,89.6.3,355,,370,,188000,,182000,,149000,,148000,
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,"One couple, with or without children in their census family",89.6.4,355,,360,,188000,,182000,,149000,,148000,
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,Without children,89.6.5,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,With children,89.6.6,355,,360,,188000,,182000,,149000,,148000,
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,One one-parent census family,89.6.7,5,,5,,,x,,x,,x,,x
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,With a parent that is a man+,89.6.8,0,,0,,,x,,x,,x,,x
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,With a parent that is a woman+,89.6.9,0,,0,,,x,,x,,x,,x
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,Other census family households,89.6.10,35,,40,,162000,,153000,,141000,,132000,
2021,0200.00 - Barrie,2021S05075680200.00,4 persons,Non-census family households,89.6.11,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,Total – Household type including census family structure,89.7.1,225,,220,,206000,,186000,,168000,,160000,
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,Census-family households,89.7.2,225,,220,,206000,,186000,,168000,,160000,
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,Households consisting of only one census family without additional persons,89.7.3,140,,160,,204000,,190000,,166000,,162000,
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,"One couple, with or without children in their census family",89.7.4,140,,155,,204000,,192000,,166000,,162000,
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,Without children,89.7.5,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,With children,89.7.6,140,,155,,204000,,192000,,166000,,162000,
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,One one-parent census family,89.7.7,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,With a parent that is a man+,89.7.8,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,With a parent that is a woman+,89.7.9,0,,0,,0,...,0,...,0,...,0,...
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,Other census family households,89.7.10,80,,60,,214000,,184000,,184000,,160000,
2021,0200.00 - Barrie,2021S05075680200.00,5 or more persons,Non-census family households,89.7.11,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,Total – Household type including census family structure,90.1.1,2720,,2035,,140000,,127000,,117000,,106000,
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,Census-family households,90.1.2,2410,,1780,,150000,,141000,,125000,,118000,
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,Households consisting of only one census family without additional persons,90.1.3,2115,,1580,,145000,,139000,,120000,,115000,
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,"One couple, with or without children in their census family",90.1.4,1950,,1475,,151000,,144000,,125000,,119000,
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,Without children,90.1.5,795,,610,,114000,,103000,,97000,,88000,
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,With children,90.1.6,1155,,870,,178000,,172000,,146000,,140000,
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,One one-parent census family,90.1.7,170,,100,,89000,,79500,,77000,,67000,
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,With a parent that is a man+,90.1.8,50,,30,,97000,,91000,,81000,,73000,
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,With a parent that is a woman+,90.1.9,115,,70,,82000,,70500,,73500,,64500,
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,Other census family households,90.1.10,290,,205,,188000,,159000,,162000,,138000,
2021,0201.00 - Barrie,2021S05075680201.00,Total - Households by household size,Non-census family households,90.1.11,310,,255,,58000,,53600,,50800,,46400,
2021,0201.00 - Barrie,2021S05075680201.00,1 person,Total – Household type including census family structure,90.2.1,260,,210,,50800,,47600,,44400,,42400,
2021,0201.00 - Barrie,2021S05075680201.00,1 person,Census-family households,90.2.2,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,1 person,Households consisting of only one census family without additional persons,90.2.3,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,1 person,"One couple, with or without children in their census family",90.2.4,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,1 person,Without children,90.2.5,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,1 person,With children,90.2.6,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,1 person,One one-parent census family,90.2.7,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,1 person,With a parent that is a man+,90.2.8,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,1 person,With a parent that is a woman+,90.2.9,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,1 person,Other census family households,90.2.10,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,1 person,Non-census family households,90.2.11,260,,210,,50800,,47600,,44400,,42400,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,Total – Household type including census family structure,90.3.1,2460,,1830,,149000,,139000,,125000,,116000,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,Census-family households,90.3.2,2410,,1780,,150000,,141000,,125000,,118000,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,Households consisting of only one census family without additional persons,90.3.3,2115,,1580,,145000,,139000,,120000,,115000,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,"One couple, with or without children in their census family",90.3.4,1950,,1475,,151000,,144000,,125000,,119000,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,Without children,90.3.5,795,,610,,114000,,103000,,97000,,88000,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,With children,90.3.6,1155,,870,,178000,,172000,,146000,,140000,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,One one-parent census family,90.3.7,170,,100,,89000,,79500,,77000,,67000,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,With a parent that is a man+,90.3.8,50,,30,,97000,,91000,,81000,,73000,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,With a parent that is a woman+,90.3.9,115,,70,,82000,,70500,,73500,,64500,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,Other census family households,90.3.10,290,,205,,188000,,159000,,162000,,138000,
2021,0201.00 - Barrie,2021S05075680201.00,2 or more persons,Non-census family households,90.3.11,50,,45,,118000,,82000,,101000,,73500,
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,Total – Household type including census family structure,90.4.1,925,,700,,110000,,98000,,93000,,85000,
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,Census-family households,90.4.2,890,,660,,110000,,100000,,94000,,86000,
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,Households consisting of only one census family without additional persons,90.4.3,890,,660,,110000,,100000,,94000,,86000,
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,"One couple, with or without children in their census family",90.4.4,795,,610,,114000,,103000,,97000,,88000,
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,Without children,90.4.5,795,,610,,114000,,103000,,97000,,88000,
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,With children,90.4.6,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,One one-parent census family,90.4.7,90,,55,,80000,,66500,,71500,,60800,
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,With a parent that is a man+,90.4.8,25,,20,,96000,,,x,77500,,,x
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,With a parent that is a woman+,90.4.9,65,,40,,78500,,61200,,69500,,55200,
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,Other census family households,90.4.10,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,2 persons,Non-census family households,90.4.11,35,,35,,107000,,72000,,90000,,65000,
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,Total – Household type including census family structure,90.5.1,500,,350,,145000,,133000,,122000,,112000,
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,Census-family households,90.5.2,490,,345,,146000,,134000,,122000,,113000,
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,Households consisting of only one census family without additional persons,90.5.3,440,,295,,146000,,139000,,122000,,115000,
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,"One couple, with or without children in their census family",90.5.4,385,,260,,155000,,148000,,127000,,124000,
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,Without children,90.5.5,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,With children,90.5.6,385,,260,,155000,,148000,,127000,,124000,
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,One one-parent census family,90.5.7,55,,35,,102000,,98000,,92000,,81000,
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,With a parent that is a man+,90.5.8,15,,5,,,x,,x,,x,,x
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,With a parent that is a woman+,90.5.9,40,,25,,101000,,97000,,92000,,79500,
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,Other census family households,90.5.10,50,,45,,143000,,110000,,123000,,96000,
2021,0201.00 - Barrie,2021S05075680201.00,3 persons,Non-census family households,90.5.11,10,,10,,,x,,x,,x,,x
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,Total – Household type including census family structure,90.6.1,665,,500,,182000,,174000,,150000,,141000,
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,Census-family households,90.6.2,660,,500,,184000,,174000,,151000,,141000,
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,Households consisting of only one census family without additional persons,90.6.3,595,,460,,186000,,174000,,151000,,143000,
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,"One couple, with or without children in their census family",90.6.4,580,,450,,188000,,178000,,153000,,144000,
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,Without children,90.6.5,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,With children,90.6.6,580,,450,,188000,,178000,,153000,,144000,
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,One one-parent census family,90.6.7,15,,10,,,x,,x,,x,,x
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,With a parent that is a man+,90.6.8,10,,0,,,x,0,...,,x,0,...
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,With a parent that is a woman+,90.6.9,10,,10,,,x,,x,,x,,x
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,Other census family households,90.6.10,65,,40,,166000,,147000,,145000,,124000,
2021,0201.00 - Barrie,2021S05075680201.00,4 persons,Non-census family households,90.6.11,5,,0,,,x,0,...,,x,0,...
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,Total – Household type including census family structure,90.7.1,370,,280,,194000,,192000,,164000,,164000,
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,Census-family households,90.7.2,370,,275,,194000,,194000,,164000,,164000,
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,Households consisting of only one census family without additional persons,90.7.3,200,,160,,190000,,202000,,153000,,164000,
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,"One couple, with or without children in their census family",90.7.4,195,,160,,192000,,202000,,155000,,164000,
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,Without children,90.7.5,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,With children,90.7.6,195,,160,,192000,,202000,,155000,,164000,
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,One one-parent census family,90.7.7,5,,0,,,x,0,...,,x,0,...
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,With a parent that is a man+,90.7.8,0,,0,,0,...,0,...,0,...,0,...
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,With a parent that is a woman+,90.7.9,5,,0,,,x,0,...,,x,0,...
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,Other census family households,90.7.10,175,,120,,200000,,190000,,174000,,164000,
2021,0201.00 - Barrie,2021S05075680201.00,5 or more persons,Non-census family households,90.7.11,0,,0,,0,...,0,...,0,...,0,...
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,Total – Household type including census family structure,91.1.1,1965,,1920,,109000,,94000,,94000,,81000,
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,Census-family households,91.1.2,1600,,1555,,123000,,107000,,105000,,92000,
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,Households consisting of only one census family without additional persons,91.1.3,1440,,1415,,117000,,104000,,101000,,90000,
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,"One couple, with or without children in their census family",91.1.4,1335,,1320,,120000,,108000,,103000,,92000,
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,Without children,91.1.5,620,,640,,94000,,86000,,81000,,74500,
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,With children,91.1.6,715,,675,,149000,,130000,,126000,,111000,
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,One one-parent census family,91.1.7,105,,100,,90000,,66000,,76500,,60400,
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,With a parent that is a man+,91.1.8,50,,35,,108000,,77500,,95000,,70000,
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,With a parent that is a woman+,91.1.9,60,,60,,72500,,61600,,66000,,56000,
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,Other census family households,91.1.10,160,,140,,164000,,146000,,144000,,127000,
2021,0202.01 - Barrie,2021S05075680202.01,Total - Households by household size,Non-census family households,91.1.11,365,,360,,46800,,44000,,40800,,39200,
2021,0202.01 - Barrie,2021S05075680202.01,1 person,Total – Household type including census family structure,91.2.1,310,,305,,38400,,40400,,34800,,35600,
2021,0202.01 - Barrie,2021S05075680202.01,1 person,Census-family households,91.2.2,0,,0,,0,...,0,...,0,...,0,...
2021,0202.01 - Barrie,2021S05075680202.01,1 person,Households consisting of only one census family without additional persons,91.2.3,0,,0,,0,...,0,...,0,...,0,...
2021,0202.01 - Barrie,2021S05075680202.01,1 person,"One couple, with or without children in their census family",91.2.4,0,,0,,0,...,0,...,0,...,0,...
2021,0202.01 - Barrie,2021S05075680202.01,1 person,Without children,91.2.5,0,,0,,0,...,0,...,0,...,0,...
2021,0202.01 - Barrie,2021S05075680202.01,1 person,With children,91.2.6,0,,0,,0,...,0,...,0,...,0,...
2021,0202.01 - Barrie,2021S05075680202.01,1 person,One one-parent census family,91.2.7,0,,0,,0,...,0,...,0,...,0,...
2021,0202.01 - Barrie,2021S05075680202.01,1 person,With a parent that is a man+,91.2.8,0,,0,,0,...,0,...,0,...,0,...
2021,0202.01 - Barrie,2021S05075680202.01,1 person,With a parent that is a woman+,91.2.9,0,,0,,0,...,0,...,0,...,0,...
2021,0202.01 - Barrie,2021S05075680202.01,1 person,Other census family households,91.2.10,0,,0,,0,...,0,...,0,...,0,...
2021,0202.01 - Barrie,2021S05075680202.01,1 person,Non-census family households,91.2.11,310,,305,,38400,,40400,,34800,,35600,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,Total – Household type including census family structure,91.3.1,1660,,1610,,121000,,106000,,104000,,90000,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,Census-family households,91.3.2,1600,,1555,,123000,,107000,,105000,,92000,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,Households consisting of only one census family without additional persons,91.3.3,1440,,1415,,117000,,104000,,101000,,90000,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,"One couple, with or without children in their census family",91.3.4,1335,,1320,,120000,,108000,,103000,,92000,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,Without children,91.3.5,620,,640,,94000,,86000,,81000,,74500,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,With children,91.3.6,715,,675,,149000,,130000,,126000,,111000,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,One one-parent census family,91.3.7,105,,100,,90000,,66000,,76500,,60400,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,With a parent that is a man+,91.3.8,50,,35,,108000,,77500,,95000,,70000,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,With a parent that is a woman+,91.3.9,60,,60,,72500,,61600,,66000,,56000,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,Other census family households,91.3.10,160,,140,,164000,,146000,,144000,,127000,
2021,0202.01 - Barrie,2021S05075680202.01,2 or more persons,Non-census family households,91.3.11,55,,50,,77500,,73000,,66500,,62000,
2021,0202.01 - Barrie,2021S05075680202.01,2 persons,Total – Household type including census family structure,91.4.1,725,,750,,90000,,84000,,79500,,73000,
2021,0202.01 - Barrie,2021S05075680202.01,2 persons,Census-family households,91.4.2,680,,700,,91000,,85000,,80000,,73500,
2021,0202.01 - Barrie,2021S05075680202.01,2 persons,Households consisting of only one census family without additional persons,91.4.3,680,,700,,91000,,85000,,80000,,73500,
